Domain,Problem,Specificity,Time,Memory,Triples,Words,Readability score
apartment,instances_1-2,1,0.560861587524414,1988.640625,4,23,8.9
apartment,instances_1-2,2,0.659157514572144,1988.63671875,18,125,7.91
apartment,instances_1-2,3,1.32741498947144,1988.703125,31,239,6.74
crew_planning,instances_10-5,1,0.558517694473267,1988.6953125,4,23,8.9
crew_planning,instances_10-5,2,0.747065305709839,1988.6953125,71,460,10.53
crew_planning,instances_10-5,3,2.68121528625488,1988.64453125,136,1046,8.82
crew_planning,instances_11-12,1,0.554560422897339,1988.63671875,4,23,8.9
crew_planning,instances_11-12,2,0.819411516189575,1988.69921875,87,576,11.43
crew_planning,instances_11-12,3,3.56018018722534,1988.6953125,169,1405,10.07
crew_planning,instances_13-6,1,0.566373586654663,1988.703125,4,24,8.77
crew_planning,instances_13-6,2,0.752697467803955,1988.703125,62,394,9.79
crew_planning,instances_13-6,3,2.53396511077881,1988.88671875,131,1006,8.57
crew_planning,instances_14-7,1,0.561625242233276,1988.69921875,4,24,8.77
crew_planning,instances_14-7,2,0.781832218170166,1988.703125,68,430,10.07
crew_planning,instances_14-7,3,2.82872700691223,1988.63671875,136,1043,9.11
crew_planning,instances_15-11,1,0.568119764328003,1988.63671875,3,19,9.57
crew_planning,instances_15-11,2,0.765580177307129,1988.640625,79,495,11
crew_planning,instances_15-11,3,2.75438737869263,1988.64453125,147,1223,9.87
crew_planning,instances_3-2,1,0.558248043060303,1988.69921875,3,20,8.58
crew_planning,instances_3-2,2,0.680148601531982,1988.6953125,27,192,8.83
crew_planning,instances_3-2,3,1.5222179889679,1988.9453125,50,423,7.22
crew_planning,instances_4-8,1,0.55245041847229,1988.703125,3,20,8.58
crew_planning,instances_4-8,2,0.742182016372681,1988.88671875,50,323,9.82
crew_planning,instances_4-8,3,2.23234105110168,1988.703125,117,957,9.62
crew_planning,instances_5-9,1,0.554342269897461,1988.94921875,3,23,8.9
crew_planning,instances_5-9,2,0.72481632232666,1988.640625,51,325,9.44
crew_planning,instances_5-9,3,2.40058374404907,1988.6953125,95,677,8.84
crew_planning,instances_6-2,1,0.566001892089844,1988.6953125,3,20,8.58
crew_planning,instances_6-2,2,0.708688020706177,1988.94921875,39,254,9.14
crew_planning,instances_6-2,3,1.94479203224182,1988.69921875,92,749,8.66
crew_planning,instances_9-1,1,0.561486482620239,1988.640625,3,20,8.58
crew_planning,instances_9-1,2,0.736997365951538,1988.953125,55,346,10.17
crew_planning,instances_9-1,3,2.14391112327576,1988.94140625,153,1118,9.76
match_cellar,instances_11-20,1,0.573066473007202,1988.69921875,4,23,8.9
match_cellar,instances_11-20,2,0.802287101745606,1988.88671875,27,170,8.3
match_cellar,instances_11-20,3,3.4854998588562,1988.63671875,49,384,6.99
match_cellar,instances_13-3,1,0.602854728698731,1988.94921875,4,24,8.77
match_cellar,instances_13-3,2,0.767885446548462,1988.69921875,29,181,8.4
match_cellar,instances_13-3,3,2.91502618789673,1988.69921875,53,417,7.07
match_cellar,instances_15-1,1,0.570046424865723,1988.63671875,4,24,8.77
match_cellar,instances_15-1,2,0.79497480392456,1988.88671875,35,211,8.72
match_cellar,instances_15-1,3,2.89529204368591,1988.88671875,65,513,7.33
match_cellar,instances_16-12,1,0.562638521194458,1988.953125,4,24,8.77
match_cellar,instances_16-12,2,0.807988405227661,1988.6875,16,112,7.99
match_cellar,instances_16-12,3,3.35867428779602,1988.703125,35,282,6.41
match_cellar,instances_17-10,1,0.559040307998657,1988.6953125,4,24,8.77
match_cellar,instances_17-10,2,0.822567939758301,1988.63671875,21,137,8.22
match_cellar,instances_17-10,3,3.38089799880981,1988.640625,50,409,6.25
match_cellar,instances_19-9,1,0.551433086395264,1988.6953125,4,24,8.77
match_cellar,instances_19-9,2,0.810943365097046,1988.63671875,29,181,8.4
match_cellar,instances_19-9,3,3.38368558883667,1988.6953125,53,417,7.07
match_cellar,instances_4-8,1,0.558536291122437,1988.6953125,4,23,8.9
match_cellar,instances_4-8,2,0.731297969818115,1988.69921875,16,111,8.01
match_cellar,instances_4-8,3,2.78968834877014,1988.640625,29,224,6.82
match_cellar,instances_5-14,1,0.556493759155273,1988.69921875,4,23,8.9
match_cellar,instances_5-14,2,0.78453779220581,1988.69921875,27,170,8.3
match_cellar,instances_5-14,3,2.97769927978516,1988.70703125,49,384,6.99
match_cellar,instances_6-2,1,0.574218273162842,1988.63671875,4,24,8.77
