Domain,Problem,Specificity,Time,Memory,Triples,Words
apartment_domain,apartment_problem,3,4.968095779418945,1920.5859375,42,153
crew_planning,instances_10-11,1,0.831773042678833,1920.57421875,3,18
crew_planning,instances_10-11,2,35.050122022628784,1920.57421875,81,101
crew_planning,instances_10-11,3,50.00674486160278,1920.578125,101,171
crew_planning,instances_10-11,3,32.16362714767456,1920.51953125,145,609
crew_planning,instances_1-2,1,0.795339822769165,1920.515625,3,20
crew_planning,instances_1-2,2,4.794450283050537,1920.578125,34,115
crew_planning,instances_1-2,3,13.598304986953735,1920.5078125,60,218
crew_planning,instances_3-4,1,0.7973394393920898,1920.83203125,3,23
crew_planning,instances_3-4,2,6.269142150878906,1920.76953125,39,126
crew_planning,instances_3-4,3,18.688658952713013,1920.515625,67,234
crew_planning,instances_3-4,3,3.0415642261505127,1920.51171875,14,85
match_cellar,instances_10-11,1,0.8013355731964111,1920.57421875,3,18
match_cellar,instances_10-11,2,31.81404948234558,1920.578125,57,85
match_cellar,instances_10-11,3,38.762502670288086,1920.515625,68,109
match_cellar,instances_1-2,1,0.8002350330352783,1920.57421875,3,19
match_cellar,instances_1-2,2,17.05940818786621,1920.515625,46,99
match_cellar,instances_1-2,3,20.926664352416992,1920.58203125,58,123
match_cellar,instances_3-4,1,0.7940144538879395,1920.57421875,3,18
match_cellar,instances_3-4,2,19.61261534690857,1920.58203125,49,98
match_cellar,instances_3-4,3,24.61698579788208,1920.51171875,61,122
rovers,instances_10-11,1,0.8032426834106445,1920.5859375,3,19
rovers,instances_10-11,2,24.488492012023926,1920.828125,116,274
rovers,instances_10-11,3,77.08442068099976,1920.515625,169,528
rovers,instances_1-2,1,0.8103013038635254,1920.58203125,3,19
rovers,instances_1-2,2,3.2027647495269775,1920.58203125,30,116
rovers,instances_1-2,3,7.090680837631226,1920.57421875,49,189
rovers,instances_3-4,1,0.7889783382415771,1920.52734375,3,19
rovers,instances_3-4,2,3.5302891731262207,1920.578125,32,118
rovers,instances_3-4,3,12.949564933776855,1920.83203125,65,254
