Domain,Problem,Specificity,Time,Memory,Triples,Words,Readability score
apartment,instances_1-2,1,0.7282383441925049,1988.6796875,2,14,9.62
apartment,instances_1-2,2,0.8061361312866211,1988.9296875,30,203,7.46
apartment,instances_1-2,3,1.7653939723968506,1988.93359375,100,706,5.59
crew_planning,instances_10-5,1,0.7034461498260498,1988.92578125,2,14,9.62
crew_planning,instances_10-5,2,0.8818507194519043,1988.67578125,81,528,9.15
crew_planning,instances_10-5,3,3.709094762802124,1988.68359375,349,2523,2.0
crew_planning,instances_11-12,1,0.728595495223999,1988.625,2,14,9.62
crew_planning,instances_11-12,2,0.9366168975830078,1988.62109375,119,764,10.36
crew_planning,instances_11-12,3,5.146106004714966,1988.6796875,511,3744,1.83
crew_planning,instances_13-6,1,0.7441129684448242,1988.6171875,2,14,9.62
crew_planning,instances_13-6,2,0.8287503719329834,1988.68359375,76,501,8.79
crew_planning,instances_13-6,3,3.4588217735290527,1988.8671875,309,2334,1.86
crew_planning,instances_14-7,1,0.7365922927856445,1988.68359375,2,14,9.62
crew_planning,instances_14-7,2,0.8855576515197754,1988.6796875,88,581,9.17
crew_planning,instances_14-7,3,3.9286246299743652,1988.62109375,376,2881,1.83
crew_planning,instances_15-11,1,0.7573316097259521,1988.68359375,2,14,9.62
crew_planning,instances_15-11,2,0.888031005859375,1988.6796875,94,601,9.65
crew_planning,instances_15-11,3,3.9412713050842285,1988.67578125,385,2830,1.89
crew_planning,instances_3-2,1,0.7301254272460938,1988.61328125,2,14,9.62
crew_planning,instances_3-2,2,0.8306920528411865,1988.9296875,40,270,8.35
crew_planning,instances_3-2,3,2.117748737335205,1988.67578125,142,1042,5.76
crew_planning,instances_4-8,1,0.7195641994476318,1988.93359375,2,14,9.62
crew_planning,instances_4-8,2,0.8675341606140137,1988.67578125,67,447,8.92
crew_planning,instances_4-8,3,3.0907890796661377,1988.68359375,291,2191,1.95
crew_planning,instances_5-9,1,0.7253842353820801,1988.6875,2,14,9.62
crew_planning,instances_5-9,2,0.8537614345550537,1988.68359375,70,458,8.65
crew_planning,instances_5-9,3,3.3523662090301514,1988.68359375,366,2618,2.03
crew_planning,instances_6-2,1,0.724085807800293,1988.6875,2,14,9.62
crew_planning,instances_6-2,2,0.8366086483001709,1988.67578125,56,378,8.41
crew_planning,instances_6-2,3,2.693769931793213,1988.93359375,244,1841,1.92
crew_planning,instances_9-1,1,0.7346851825714111,1988.68359375,2,14,9.62
crew_planning,instances_9-1,2,0.8546781539916992,1988.68359375,60,386,8.98
crew_planning,instances_9-1,3,2.9073336124420166,1988.6796875,269,1892,2.1
match_cellar,instances_11-20,1,0.7448995113372803,1988.69140625,2,14,9.62
match_cellar,instances_11-20,2,0.9295468330383301,1988.93359375,117,638,9.55
match_cellar,instances_11-20,3,4.92879843711853,1988.6796875,445,2954,1.67
match_cellar,instances_13-3,1,0.7564826011657715,1988.87109375,2,14,9.62
match_cellar,instances_13-3,2,0.8810739517211914,1988.68359375,95,528,8.97
match_cellar,instances_13-3,3,4.085338592529297,1988.67578125,357,2382,1.7
match_cellar,instances_15-1,1,0.7392315864562988,1988.92578125,2,14,9.62
match_cellar,instances_15-1,2,0.8993978500366211,1988.9296875,95,528,9.06
match_cellar,instances_15-1,3,4.0787858963012695,1988.6796875,357,2382,1.72
match_cellar,instances_16-12,1,0.7389562129974365,1988.93359375,2,14,9.62
match_cellar,instances_16-12,2,0.9280309677124023,1988.6796875,112,613,9.32
match_cellar,instances_16-12,3,4.786914587020874,1988.61328125,422,2801,1.66
match_cellar,instances_17-10,1,0.7352721691131592,1988.6796875,2,14,9.62
match_cellar,instances_17-10,2,0.9230117797851562,1988.6796875,111,608,9.35
match_cellar,instances_17-10,3,4.718058824539185,1988.9375,418,2775,1.68
match_cellar,instances_19-9,1,0.7376418113708496,1988.6796875,2,14,9.62
match_cellar,instances_19-9,2,0.9153907299041748,1988.9296875,113,618,9.46
match_cellar,instances_19-9,3,4.826730728149414,1988.93359375,429,2850,1.68
match_cellar,instances_4-8,1,0.7416107654571533,1988.6796875,2,14,9.62
match_cellar,instances_4-8,2,0.8813302516937256,1988.62109375,88,493,8.65
match_cellar,instances_4-8,3,3.9100499153137207,1988.9296875,326,2177,1.69
match_cellar,instances_5-14,1,0.7294633388519287,1988.68359375,2,14,9.62
match_cellar,instances_5-14,2,0.9353251457214355,1988.62109375,99,548,9.05
match_cellar,instances_5-14,3,4.2221760749816895,1988.62890625,373,2486,1.68
match_cellar,instances_6-2,1,0.7500314712524414,1988.6796875,2,14,9.62
match_cellar,instances_6-2,2,0.8666126728057861,1988.6796875,82,463,8.49
match_cellar,instances_6-2,3,3.653245449066162,1988.6796875,302,2021,1.7
match_cellar,instances_7-18,1,0.7263445854187012,1988.68359375,2,14,9.62
match_cellar,instances_7-18,2,0.9008212089538574,1988.6796875,108,593,9.34
match_cellar,instances_7-18,3,4.521212339401245,1988.6796875,409,2720,1.69
rovers,instances_10-3,1,0.7381880283355713,1988.6796875,2,14,9.62
rovers,instances_10-3,2,0.8668191432952881,1988.6796875,69,387,8.93
rovers,instances_10-3,3,3.209843635559082,1988.67578125,286,1804,1.91
rovers,instances_1-6,1,0.7262623310089111,1988.93359375,2,14,9.62
rovers,instances_1-6,2,0.8280720710754395,1988.6875,69,384,9.02
rovers,instances_1-6,3,3.124319076538086,1988.6875,257,1653,5.56
rovers,instances_1-7,1,0.730738639831543,1988.9375,2,14,9.62
rovers,instances_1-7,2,0.8318350315093994,1988.6796875,46,280,8.19
rovers,instances_1-7,3,2.3615357875823975,1988.6796875,166,1126,5.52
rovers,instances_2-7,1,0.7290301322937012,1988.9296875,2,14,9.62
rovers,instances_2-7,2,0.8151473999023438,1988.6875,44,272,8.23
rovers,instances_2-7,3,2.263059139251709,1988.93359375,152,1033,5.61
rovers,instances_4-10,1,0.7230913639068604,1988.68359375,2,14,9.62
rovers,instances_4-10,2,0.8613991737365723,1988.62109375,65,371,8.96
rovers,instances_4-10,3,3.031402587890625,1988.61328125,262,1679,5.6
rovers,instances_5-2,1,0.7250158786773682,1988.6796875,2,14,9.62
rovers,instances_5-2,2,0.8519277572631836,1988.92578125,51,303,8.49
rovers,instances_5-2,3,2.5309267044067383,1988.6796875,183,1218,5.61
rovers,instances_5-8,1,0.725059986114502,1988.6953125,2,14,9.62
rovers,instances_5-8,2,0.9298548698425293,1988.68359375,79,424,8.8
rovers,instances_5-8,3,3.470590353012085,1988.6796875,328,2075,1.74
rovers,instances_6-4,1,0.7153995037078857,1988.87109375,2,14,9.62
rovers,instances_6-4,2,0.869696855545044,1988.68359375,67,376,9.03
rovers,instances_6-4,3,3.1020755767822266,1988.6796875,255,1643,5.56
rovers,instances_9-3,1,0.7293581962585449,1988.6796875,2,14,9.62
rovers,instances_9-3,2,0.8660132884979248,1988.68359375,66,367,8.84
rovers,instances_9-3,3,3.1008968353271484,1988.68359375,277,1723,1.93
rovers,instances_9-8,1,0.7057783603668213,1988.67578125,2,14,9.62
rovers,instances_9-8,2,0.9025321006774902,1988.6796875,90,480,8.78
rovers,instances_9-8,3,3.9507229328155518,1988.6796875,403,2540,1.56
