Domain,Problem,Specificity,Time,Memory,Triples,Words
crew_planning,instances_10-11,1,0.7715244293212891,1920.5625,2,21
crew_planning,instances_10-11,2,0.8916633129119873,1920.5625,104,282
crew_planning,instances_10-11,3,4.400736331939697,1920.50390625,432,1514
crew_planning,instances_1-2,1,0.718388557434082,1920.55859375,2,21
crew_planning,instances_1-2,2,0.8052768707275391,1920.49609375,40,157
crew_planning,instances_1-2,3,2.04215145111084,1920.5625,142,607
crew_planning,instances_3-4,1,0.7147982120513916,1920.5625,2,21
crew_planning,instances_3-4,2,0.8185622692108154,1920.5625,46,175
crew_planning,instances_3-4,3,2.2406158447265625,1920.5625,166,691
match_cellar,instances_10-11,1,0.7298417091369629,1920.5078125,2,21
match_cellar,instances_10-11,2,0.8885321617126465,1920.49609375,100,274
match_cellar,instances_10-11,3,4.157821893692017,1920.55859375,381,1450
match_cellar,instances_1-2,1,0.7143056392669678,1920.55859375,2,21
match_cellar,instances_1-2,2,0.8725748062133789,1920.55859375,73,220
match_cellar,instances_1-2,3,3.23835825920105,1920.49609375,275,1080
match_cellar,instances_3-4,1,0.7246251106262207,1920.5625,2,21
match_cellar,instances_3-4,2,0.8614513874053955,1920.55859375,79,232
match_cellar,instances_3-4,3,3.4278674125671387,1920.55859375,299,1164
rovers,instances_10-11,1,0.7213916778564453,1920.4921875,2,21
rovers,instances_10-11,2,0.8510737419128418,1920.55859375,88,250
rovers,instances_10-11,3,3.8796117305755615,1920.5625,407,1434
rovers,instances_1-2,1,0.7386038303375244,1920.5,2,21
rovers,instances_1-2,2,0.7990500926971436,1920.5,32,138
rovers,instances_1-2,3,1.8300321102142334,1920.5078125,113,514
rovers,instances_3-4,1,0.7236435413360596,1920.5,2,21
rovers,instances_3-4,2,0.7972791194915771,1920.50390625,34,142
rovers,instances_3-4,3,1.8820297718048096,1920.5625,121,532
