Domain,Problem,Specificity,Time,Memory,Triples,Words,Readability score
apartment,instances_1-2,1,0.5642104148864746,1988.953125,4,25,8.67
apartment,instances_1-2,2,0.6718747615814209,1988.640625,19,136,7.66
apartment,instances_1-2,3,1.3387839794158936,1988.6953125,43,239,7.23
crew_planning,instances_10-5,1,0.5503888130187988,1988.69921875,4,26,8.57
crew_planning,instances_10-5,2,0.762535572052002,1988.69921875,72,472,10.56
crew_planning,instances_10-5,3,2.6357123851776123,1988.640625,176,1066,11.4
crew_planning,instances_13-6,1,0.5563759803771973,1988.6953125,4,26,8.57
crew_planning,instances_13-6,2,0.7407329082489014,1988.69140625,63,405,9.8
crew_planning,instances_13-6,3,2.480686664581299,1988.640625,148,1043,11.15
crew_planning,instances_14-7,1,0.554842472076416,1988.6953125,4,26,8.57
crew_planning,instances_14-7,2,0.7663311958312988,1988.63671875,69,441,10.09
crew_planning,instances_14-7,3,2.8075199127197266,1988.6953125,166,1176,11.95
crew_planning,instances_3-2,1,0.5174946784973145,1988.69921875,3,22,8.32
crew_planning,instances_3-2,2,0.6636102199554443,1988.6953125,29,210,8.65
crew_planning,instances_3-2,3,1.5027697086334229,1988.6953125,61,410,8.39
crew_planning,instances_9-1,1,0.5651726722717285,1988.94921875,3,22,8.32
crew_planning,instances_9-1,2,0.727550745010376,1988.69921875,57,364,10.15
crew_planning,instances_9-1,3,2.1232616901397705,1988.69140625,160,1084,12.43
match_cellar,instances_11-20,1,0.5538144111633301,1988.69921875,4,25,8.67
match_cellar,instances_11-20,2,0.7972714900970459,1988.69921875,28,181,8.14
match_cellar,instances_11-20,3,3.482722043991089,1988.69921875,98,371,7.73
match_cellar,instances_15-1,1,0.5544712543487549,1988.70703125,4,26,8.57
match_cellar,instances_15-1,2,0.7946999073028564,1988.69921875,36,222,8.61
match_cellar,instances_15-1,3,2.92280912399292,1988.9453125,99,492,8.29
match_cellar,instances_17-10,1,0.5578088760375977,1988.70703125,4,26,8.57
match_cellar,instances_17-10,2,0.8138401508331299,1988.69921875,22,148,7.99
match_cellar,instances_17-10,3,3.3421437740325928,1988.88671875,139,360,7.58
match_cellar,instances_4-8,1,0.5549309253692627,1988.703125,4,25,8.67
match_cellar,instances_4-8,2,0.731663703918457,1988.6328125,17,122,7.69
match_cellar,instances_4-8,3,2.743637800216675,1988.94921875,67,215,7.32
match_cellar,instances_6-2,1,0.5566654205322266,1988.6953125,4,26,8.57
match_cellar,instances_6-2,2,0.7471494674682617,1988.69921875,17,123,7.68
match_cellar,instances_6-2,3,2.5751891136169434,1988.703125,100,255,7.26
rovers,instances_10-3,1,0.5566959381103516,1988.70703125,4,26,8.57
rovers,instances_10-3,2,0.742607831954956,1988.69921875,60,335,9.93
rovers,instances_10-3,3,2.383448839187622,1988.63671875,141,837,10.2
rovers,instances_1-7,1,0.5519490242004395,1988.6953125,4,25,8.67
rovers,instances_1-7,2,0.6805362701416016,1988.6953125,39,235,8.86
rovers,instances_1-7,3,1.6834940910339355,1988.69140625,81,521,8.47
rovers,instances_5-2,1,0.5584688186645508,1988.94921875,4,26,8.57
rovers,instances_5-2,2,0.7138383388519287,1988.69921875,44,259,9.25
rovers,instances_5-2,3,1.8343737125396729,1988.69921875,91,593,8.88
rovers,instances_6-4,1,0.5594227313995361,1988.640625,4,26,8.57
rovers,instances_6-4,2,0.7377114295959473,1988.9453125,58,324,10.02
rovers,instances_6-4,3,2.238051176071167,1988.6953125,119,765,9.93
rovers,instances_9-8,1,0.5528275966644287,1988.87890625,3,23,8.9
rovers,instances_9-8,2,0.7956500053405762,1988.69921875,70,379,9.65
rovers,instances_9-8,3,2.7559502124786377,1988.69921875,180,1077,12.25
