Domain,Problem,Specificity,Time,Memory,Triples,Words,Readability score
apartment_domain,apartment_problem,3,1.689030647277832,1920.56640625,98,458
apartment,instances_1-2,1,0.7308993339538574,1988.67578125,2,14,9.62
apartment,instances_1-2,2,0.8285183906555176,1988.8671875,30,207,7.29
apartment,instances_1-2,3,1.8150079250335693,1988.92578125,102,728,5.55
crew_planning,instances_10-5,1,0.723017692565918,1988.625,2,14,9.62
crew_planning,instances_10-5,2,0.879563570022583,1988.62109375,81,532,9.1
crew_planning,instances_10-5,3,3.6182785034179688,1988.69140625,351,2545,2.0
crew_planning,instances_13-6,1,0.7226665019989014,1988.6875,2,14,9.62
crew_planning,instances_13-6,2,0.8670518398284912,1988.6796875,76,505,8.74
crew_planning,instances_13-6,3,3.4510157108306885,1988.67578125,311,2356,1.85
crew_planning,instances_14-7,1,0.7235445976257324,1988.9375,2,14,9.62
crew_planning,instances_14-7,2,0.8748996257781982,1988.68359375,88,585,9.12
crew_planning,instances_14-7,3,3.919001579284668,1988.92578125,378,2903,1.82
crew_planning,instances_3-2,1,0.719003438949585,1988.6875,2,14,9.62
crew_planning,instances_3-2,2,0.8141241073608398,1988.68359375,40,274,8.22
crew_planning,instances_3-2,3,2.0626587867736816,1988.6796875,146,1082,5.74
crew_planning,instances_9-1,1,0.7268848419189453,1988.92578125,2,14,9.62
crew_planning,instances_9-1,2,0.8403537273406982,1988.68359375,60,390,8.89
crew_planning,instances_9-1,3,2.9040729999542236,1988.68359375,273,1932,2.1
match_cellar,instances_11-20,1,0.7280969619750977,1988.68359375,2,14,9.62
match_cellar,instances_11-20,2,0.9205939769744873,1988.62109375,117,642,9.51
match_cellar,instances_11-20,3,4.911717891693115,1988.9375,447,2976,1.66
match_cellar,instances_15-1,1,0.7278389930725098,1988.93359375,2,14,9.62
match_cellar,instances_15-1,2,0.898078441619873,1988.69140625,95,532,9.01
match_cellar,instances_15-1,3,4.079052686691284,1988.6796875,359,2404,1.71
match_cellar,instances_17-10,1,0.7262628078460693,1988.68359375,2,14,9.62
match_cellar,instances_17-10,2,0.911229133605957,1988.6875,111,612,9.31
match_cellar,instances_17-10,3,4.657245635986328,1988.68359375,420,2797,1.68
match_cellar,instances_4-8,1,0.7234106063842773,1988.625,2,14,9.62
match_cellar,instances_4-8,2,0.8859329223632812,1988.68359375,88,497,8.59
match_cellar,instances_4-8,3,3.861494779586792,1988.6171875,328,2199,1.68
match_cellar,instances_6-2,1,0.7258694171905518,1988.625,2,14,9.62
match_cellar,instances_6-2,2,0.8725728988647461,1988.6171875,82,467,8.43
match_cellar,instances_6-2,3,3.615252733230591,1988.6875,304,2043,1.68
rovers,instances_10-3,1,0.7206356525421143,1988.6875,2,14,9.62
rovers,instances_10-3,2,0.8565795421600342,1988.68359375,69,391,8.85
rovers,instances_10-3,3,3.255936622619629,1988.6875,288,1826,1.9
rovers,instances_1-7,1,0.7121505737304688,1988.625,2,14,9.62
rovers,instances_1-7,2,0.8215410709381104,1988.9375,46,284,8.07
rovers,instances_1-7,3,2.3336410522460938,1988.68359375,168,1148,5.49
rovers,instances_5-2,1,0.7275502681732178,1988.93359375,2,14,9.62
rovers,instances_5-2,2,0.828120231628418,1988.68359375,51,307,8.37
rovers,instances_5-2,3,2.503885269165039,1988.6796875,185,1240,5.58
rovers,instances_6-4,1,0.7317688465118408,1988.68359375,2,14,9.62
rovers,instances_6-4,2,0.8425624370574951,1988.6796875,67,380,8.94
rovers,instances_6-4,3,3.0709388256073,1988.62109375,257,1665,5.55
rovers,instances_9-8,1,0.7255244255065918,1988.9375,2,14,9.62
rovers,instances_9-8,2,0.9112200736999512,1988.6796875,90,480,8.78
rovers,instances_9-8,3,3.8855528831481934,1988.67578125,405,2562,1.57
